F1	An authenticator handles the authentication challenge/response cycles of a single connection.
F377	rename stress to cassandra-stress for saner packaging. Include stress tool in debian packaging
F378	Fix exception on colum metadata with non-string comparator. Setting column metadata for non-string comparator CFs breaks
F379	Check for unknown/invalid compression options. Validate compression parameters
F380	(cql3) Adds simple access to column timestamp and ttl. Easy access to column timestamps (and maybe ttl) during queries
F381	(cql3) Fix range queries with secondary indexes. CQL3 range query with secondary index fails.
F382	Better error messages from improper input in cli. Cassandra-cli returns 'command not found' instead of syntax error
F383	Try to stop all compaction upon Keyspace or ColumnFamily drop. Error while deleting a columnfamily that is being compacted.
F384	(cql3) Allow keyspace properties to contain hyphens. Can't specify certain keyspace properties in CQL
F385	(cql3) Correctly validate keyspace access in create table. CQL3: create table don't always validate access to the right keyspace
F386	Avoid deadlock in migration stage. avoid distributed deadlock in migration stage
F387	Take supercolumn names and deletion info into account in memtable throughput. live ratio limit 64.0 is way too low
F388	Add back backward compatibility for old style replication factor. Upgrading encounters: 'SimpleStrategy requires a replication_factor strategy option.' and refuses to start
F389	Preserve compatibility with pre-1.1 index queries. 1.1 does not preserve compatibility w/ index queries against 1.0 nodes
F390	Fix cleanup not deleting index entries. cleanup optimization can delete data but not corresponding index entries
F391	Use correct partitioner when saving + loading caches. sstable2json error
F392	Check schema before trying to export sstable. NPE in sstable2json. 
F393	Raise a meaningful exception instead of NPE when PFS encounters an unconfigured node + no default. PFS should give a friendlier error message when a node has not been configured
F394	fix bug in sstable blacklisting with LCS. fix sstable blacklisting for LCS
F395	LCS no longer promotes tiny sstables out of L0. Small SSTable Segments Can Hurt Leveling Process
F396	skip tombstones during hint replay. Assertion error while delivering the hints.
F397	fix NPE in compactionstats. Nodetool compactionstats fails with NullPointerException
F398	enforce 1m min keycache for auto. enforce 1m min keycache for auto
F399	Have DeletedColumn.isMFD always return true. isMarkedForDelete can return false if it is a few seconds in the future. 
F400	"(cql3) exeption message for ORDER BY constraints said primary filter can be an IN clause, which is misleading. ex msg for cql3 order by constraints says primary filter can be an IN clause which is misleading"
F401	(cql3) Reject (not yet supported) creation of 2ndardy indexes on tables with composite primary keys. CQL client timeout when inserting data after creating index
F402	Set JVM stack size to 160k for java 7. Oracle Java 1.7 u4 does not allow Xss128k. 
F403	cqlsh: add COPY command to load data from CSV flat files. Load-from-flat-file data import tool. 
F404	CFMetaData.fromThrift to throw ConfigurationException upon error. no error propagated to client when updating a column family with an invalid column def
F405	Use CF comparator to sort indexed columns in SecondaryIndexManager. Use CF comparator to sort indexed columns in SecondaryIndexManager
F406	add strategy_options to the KSMetaData.toString() output. it'd be great to print the strategyOptions map in the KSMetatData.toString
F407	(cql3) fix range queries containing unqueried results. CQL3 Range Query contains unwanted results with composite columns
F408	(cql3) allow updating column_alias types. Allow updating column_alias types
F409	(cql3) Fix deletion bug. cql delete does not delete
F410	Fix computation of overlapping sstable for leveled compaction. stackoverflow building interval tree & possible sstable corruptions
F411	Improve scrub and allow to run it offline. stackoverflow building interval tree & possible sstable corruptions
F412	Fix assertionError in StorageService.bulkLoad. bulkLoad() method in StorageService throws AssertionError
F413	(cqlsh) add option to authenticate to a keyspace at startup. Add an option to cqlsh to authenticate to a keyspace by default
F414	(cqlsh) fix ASSUME functionality. cqlsh: ASSUME functionality broken by CASSANDRA-4198 fix
F415	Fix ColumnFamilyRecordReader to not return progress > 100% ColumnFamilyRecordReader can report progress > 100%
F416	(cqlsh) add COPY TO add COPY TO
F417	munmap commitlog segments before rename. Data insertion fails because of commitlog rename failure
F418	(JMX) rename getRangeKeySample to sampleKeyRange to avoid returning multi-MB results as an attribute. remove RangeKeySample from attributes in jmx
F419	"flush based on data size, not throughput; overwritten columns no longer artificially inflate liveRatio"
F420	"update default commitlog segment size to 32MB and total commitlog size to 32/1024 MB for 32/64 bit JVMs, respectively. Humor 32bit JVMs"
F421	avoid using global partitioner to estimate ranges in index sstables. cleanup uses global partitioner to estimate ranges in index sstables
F422	restore pre-CASSANDRA-3862 approach to removing expired tombstones from row cache during compaction. Compaction invalidates row cache
F423	(stress) support for CQL prepared statements. update stress to support prepared statements
F424	Correctly catch exception when Snappy cannot be loaded. Correctly catch exception when Snappy cannot be loaded
F425	(cql3) Support ORDER BY when IN condition is given in WHERE clause. Sorting results when using IN()
F426	"(cql3) delete ""component_index"" column on DROP TABLE call. Possible schema corruption with cql 3.0"
F427	change nanoTime() to currentTimeInMillis() in schema related code. Change nanoTime() to currentTimeInMillis() in schema related code.
F428	add a token generation tool. Add a token generator to standard tools
F429	Fix LCS bug with sstable containing only 1 row. Assertion with LCS compaction
F430	"fix ""Can't Modify Index Name"" problem on CF update. Updating column family using cassandra-cli results in ""Cannot modify index name"""
F431	Fix assertion error in getOverlappingSSTables during repair. AssertionError in ColumnFamilyStore.getOverlappingSSTables() during repair
F432	fix nodetool's setcompactionthreshold command. Nodetool fail to setcompactionthreshold
F433	"Ensure compacted files are never used, to avoid counter overcount. Counters in columns don't preserve correct values after cluster restart"
F434	fix offline scrub to catch >= out of order rows. Assertion with LCS compaction
F435	fix cassandra-env.sh on RHEL and other non-dash-based systems. nodetool can't work at all !
F436	add SecondaryIndex.reload API. Any SecondaryIndex implementation can be reloaded following config changes
F437	"use millis + atomicint for commitlog segment creation instead of nanotime, which has issues under some hypervisors. Ensure unique commit log file names"
F438	"fix FD leak in slice queries. Strange permament socket descriptors increasing leads to ""Too many open files"""
F439	avoid recursion in leveled compaction. StackOverflowError in LeveledCompactionStrategy$LeveledScanner.computeNext
F440	increase stack size under Java7 to 180K
F441	Log(info) schema changes. Log(info) schema changes.
F442	Change nodetool setcachecapcity to manipulate global caches. Change nodetool setcachecapcity to manipulate global caches
F443	(cql3) fix setting compaction strategy. Impossible to set LeveledCompactionStrategy to a column family.
F444	fix broken system.schema_* timestamps on system startup. update column family fails
F445	fix wrong skip of cache saving. Multithreaded cache saving can skip caches
F446	Avoid NPE when lost+found is in data dir. lost+found directory in the data dir causes problems again
F447	Respect five-minute flush moratorium after initial CL replay. Respect five-minute flush moratorium after initial CL replay
F448	Adds ntp as recommended in debian packaging. Add Recommends: ntp to Debian packages
F449	Configurable transport in CF Record{Reader|Writer}. Configurable transport in CF RecordReader / RecordWriter
F450	(cql3) fix potential NPE with both equal and unequal restriction. NPE when trying to select a slice from a composite table
F451	(cql3) improves ORDER BY validation. ORDER BY validation is not restrictive enough
F452	Fix potential deadlock during counter writes. Dead lock in mutation stage when many concurrent writes to few columns
F453	Fix cql error with ORDER BY when using IN. cql error with ORDER BY when using IN
F454	Wait for writes on synchronous read digest mismatch. Digest mismatch doesn't wait for writes as intended
F455	fix commitlog replay for nanotime-infected sstables. Commitlog not replayed after restart
F456	preflight check ttl for maximum of 20 years. Setting TTL to Integer.MAX causes columns to not be persisted.
F457	(Pig) fix widerow input with single column rows. CassandraStorage.getNextWide produces corrupt data
F458	"Fix HH to compact with correct gcBefore, which avoids wiping out undelivered hints. HintedHandoff fails to deliver hints after first repaired node"
F459	LCS will merge up to 32 L0 sstables as intended. leveled compaction does less work in L0 than intended
F460	NTS will default unconfigured DC replicas to zero. NPE in NTS when using LQ against a node (DC) that doesn't have replica
F461	use default consistency level in counter validation if none is explicitly provided. cql 2 counter validations need to use default consistencylevel if none is explicitly given
F462	Improve IAuthority interface by introducing fine-grained access permissions and grant/revoke commands. Compaction error with Cassandra 1.1.4 and LCS
F463	fix assumption error in CLI when updating/describing keyspace. Error in CLI when updating keyspace
F464	Adds offline sstablescrub to debian packaging. Add offline scrub to debian package
F465	Automatic fixing of overlapping leveled sstables. Compaction error with Cassandra 1.1.4 and LCS
F466	fix error when using ORDER BY with extended selections. Log error when using IN together with ORDER BY
F467	(CQL3) Fix validation for IN queries for non-PK cols. (CQL3) Missing validation for IN queries on column not part of the PK
F468	fix re-created keyspace disappering after 1.1.5 upgrade. Keyspace disappears when upgrading node from cassandra-1.1.1 to cassandra-1.1.5. Drop keyspace causes schema disagreement
F469	(CLI) display elapsed time in 2 fraction digits. Increase precision of elapsed time in casandra-cli
F470	add authentication support to sstableloader. bin/sstableloader should support authentication
F471	Fix CQL3 'is reversed' logic. CQL3 predicate logic is reversed when used on a reversed column. CQL3 Predicate logic bug when using composite columns
F472	(CQL3) Don't return ReversedType in result set metadata. cqlsh fails to format values of ReversedType-wrapped classes
F473	Backport adding AlterKeyspace statement. Add AlterKeyspace statement
F474	(CQL3) Correcty accept upper-case data types. (CQL3) data type not in lowercase are not handled correctly.
F475	Add binary protocol events for schema changes. Binary protocol: inform clients of schema changes
F476	cqlsh: improve COPY FROM performance. improve cqlsh COPY FROM performance
F477	add basic authentication support for Pig CassandraStorage. Implement authentication in Pig loadFunc
F478	"fix CQL2 ALTER TABLE compaction_strategy_class altering. in cqlsh, alter table with compaction_strategy_class does nothing"
F479	reset getRangeSlice filter after finishing a row for get_paged_slice. StorageProxy.getRangeSlice sometimes returns incorrect number of columns
F480	expunge row cache post-truncate. Truncate doesn't clear row cache
F481	remove IAuthority2. Revert IAuthority2 interface
F482	add get[Row|Key]CacheEntries to CacheServiceMBean. Include number of entries in CachedService
F483	fix get_paged_slice to wrap to next row correctly. Broken get_paged_slice
F484	fix indexing empty column values. AssertionError: keys must not be empty
F485	allow JdbcDate to compose null Date objects. JdbcDate.compose is not null safe
F486	fix possible stackoverflow when compacting 1000s of sstables. StackOverflowError in CompactionExecutor thread
F487	fix wrong leveled compaction progress calculation. Compaction progress counts more than 100%
F488	add a close() method to CRAR to prevent leaking file descriptors. Add a close() method to CRAR to prevent leaking file descriptors.
F489	fix potential infinite loop in get_count. get_count with 'count' param between 1024 and ~actual column count fails
F490	fix compositeType.{get/from}String methods. DateType in Column MetaData causes server crash
F491	(CQL) fix CREATE COLUMNFAMILY permissions check. CQL2 CREATE COLUMNFAMILY checks wrong permission
F492	Fix DynamicCompositeType same type comparison. Duplicate column names with DynamicCompositeType
F493	Fix duplicate SSTable reference when stream session failed. Failed streaming may cause duplicate SSTable reference
F494	Allow static CF definition with compact storage. CQL3 doesn't allow static CF definition with compact storage in C* 1.1
F495	Fix endless loop/compaction of schema_* CFs due to broken timestamps. Endless loop flushing+compacting system/schema_keyspaces and system/schema_columnfamilies
F496	"Fix 'wrong class type' assertion in CounterColumn. ""AssertionError: Wrong class type"" at CounterColumn.diff()"
F497	Fix cqlsh timestamp formatting of timezone info. cqlsh timestamp formatting is broken - displays wrong timezone info (at least on Ubuntu)
F498	Fix assertion failure with leveled compaction. assertion failure in leveled compaction test
F499	Check for null end_token in get_range_slice. Wrong assumption for KeyRange about range.end_token in get_range_slices().
F500	Remove all remnants of removed nodes. remnants of removed nodes remain after removal
F501	Add aut-reloading of the log4j file in debian package. Debian packaging doesn't do auto-reloading of log4j properties file
F502	Fix estimated row cache entry size. Estimated Row Cache Entry size incorrect (always 24?)
F503	reset getRangeSlice filter after finishing a row for get_paged_slice. StorageProxy.getRangeSlice sometimes returns incorrect number of columns
F504	fix temporarily missing schema after upgrade from pre-1.1.5. Upgraded cassandra loses all cfs on restart
F505	reduce log spam from invalid counter shards. Reduce log spam from counter shard warnings
F506	Improve schema propagation performance. Schema push/pull race
F507	Fall back to old describe_splits if d_s_ex is not available. CFRR wide row iterators improvements
F508	"Improve error reporting when streaming ranges fail. RangeStreamer has no way to report failures, allowing bootstrap/move etc to complete without data"
F509	cqlsh: fix timestamp formatting on some platforms. cqlsh doesn't show correct timezone when SELECTing a column of type TIMESTAMP
F510	"Fix ALTER TABLE overriding compression options with defaults. After changing the compaction strategy, compression_strategy always returning back to the ""SnappyCompressor"" through CQL 2.2.0. Compression params validation assumes SnappyCompressor"
F511	Avoid error opening data file on startup. error opening data file at startup
F512	"Fix wrong index_options in cli 'show schema'. ""show schema"" command in cassandra-cli generates wrong ""index_options"" values."
F513	Allow overriding number of available processor. Allow property override of available processors value
F514	Simplify CompressedRandomAccessReader to work around JDK FD bug. Major compaction IOException in 1.1.8
F515	Improve handling a changing target throttle rate mid-compaction. Changing from higher to lower compaction throughput causes long (multi hour) pause in large compactions
F516	fix multithreaded compaction deadlock. HintsColumnFamily compactions hang when using multithreaded compaction
F517	fix specifying and altering crc_check_chance. not possible to change crc_check_chance
F518	Don't expire columns sooner than they should in 2ndary indexes. Compaction deletes ExpiringColumns in Secondary Indexes
F519	Pig: correctly decode row keys in widerow mode. CassandraStorage doesn't decode name in widerow mode
F520	nodetool repair command now prints progress. Need some indication of node repair success or failure
F521	fix user defined compaction to run against 1.1 data directory. user defined compaction is broken
F522	Fix CQL3 BATCH authorization caching. CQL3 BATCH authorization caching bug
F523	"fix get_count returns incorrect value with TTL. Since 1.1, get_count sometimes returns value smaller than actual column count"
F524	better handling for amid compaction failure. Make sure SSTables left over from compaction get deleted and logged
F525	calculate pending ranges asynchronously. calculatePendingRanges could be asynchronous
F526	fix saved key cache not loading at startup. Saved key cache is not loaded when opening ColumnFamily
F527	fix ConcurrentModificationException in getBootstrapSource. ConcurrentModificationException in getBootstrapSource
F528	fix sstable maxtimestamp for row deletes and pre-1.1.1 sstables. max client timestamp
F529	fix start key/end token validation for wide row iteration. word count example fails with InvalidRequestException(why:Start key's token sorts after end token)
F530	add ConfigHelper support for Thrift frame and max message sizes. o.a.c.hadoop.ConfigHelper should support setting Thrift frame and max message sizes.
F531	fix nodetool repair not fail on node down. Repair command should report error when replica node is dead
F532	"always collect tombstone hints. CLONE - Once a host has been hinted to, log messages for it repeat every 10 mins even if no hints are delivered"
F533	Fix thread growth on node removal. Unbounded (?) thread growth connecting to an removed node
F534	Fix error when sourcing file in cqlsh. Error when executing a file contains CQL statement in cqlsh
F535	Make Ec2Region's datacenter name configurable. Make Ec2Region's datacenter name configurable
F536	Fix trying to load deleted row into row cache on startup. Nodes Don't Restart: Assertion Error on Serializing Cache provider
F537	Update offline scrub for 1.0 -> 1.1 directory structure. Offline scrub does not migrate the directory structure on migration from 1.0.x to 1.1.x and causes the keyspace to disappear
F538	add tmp flag to Descriptor hashcode. CFS.scrubDataDirectories tries to delete nonexistent orphans
F539	"fix logging of ""Found table data in data directories"" when only system tables are present. DatabaseDescriptor.hasExistingNoSystemTables return true even with only system keyspace"
F540	cli: Add JMX authentication support. cassandra-cli doesn't support JMX authentication.
F541	nodetool: ability to repair specific range. Provide a nodetool command to repair subranges
F542	Fix possible assertion triggered in SliceFromReadCommand. Possible assertion triggered in SliceFromReadCommand
F543	cqlsh: Add inet type support on Windows (ipv4-only). inet datatype does not work with cqlsh on windows
F544	Fix race when initializing ColumnFamilyStore. Fix ColumnFamily opening race
F545	Add UseTLAB JVM flag. Enable ThreadLocal allocation in the JVM
F546	cli: Quote ks and cf names in schema output when needed. cassandra-cli should escape keyspace name
F547	Fix bad default for min/max timestamp in SSTableMetadata. Broken default values for min/max timestamp
F548	Fix cf name extraction from manifest in Directories.migrateFile(). Directories.migrateFile() does not handle -old or -tmp LDB manifests 
F549	Support pluggable internode authentication. Pluggable security feature to prevent node from joining a cluster and running destructive commands
F550	Replace mistaken usage of commons-logging with slf4j. use slf4j not commons-logging
F551	Remove buggy thrift max message length option. thrift_max_message_length_in_mb makes long-lived connections error out
F552	Add retry mechanism to OTC for non-droppable_verbs. Add retry mechanism to OTC for non-droppable_verbs
F553	Use allocator information to improve memtable memory usage estimate. Use allocator information to improve memtable memory usage estimate
F554	fsync leveled manifest to avoid corruption. Manifest file not fsynced
F555	Fix Bound intersection computation. intersects the bounds not right
F556	Fix NPE in Pig's widerow mode. CassandraStorage throws NullPointerException (NPE) when widerows is set to 'true' 
